class,tweet
positive,إجبار أبل على التعاون على فك شفرة اجهزتها https://t.co/bBRbxNe6qP
positive,RT @20fourMedia: #غوغل تتحدى أبل وأمازون بأجهزة جديدةhttps://t.co/lonD0nImA0 https://t.co/YQ9Da5gvBL
positive,جوجل تنافس أبل وسامسونج بهاتف جديد https://t.co/5JPeCXDmKk
positive,رئيس شركة أبل: الواقع المعزز سيصبح أهم من الطعامhttps://t.co/VQyBwD3Sw4@RoayahNews https://t.co/EYj3ewE7JY
neutral,ساعة أبل في الأسواق مرة أخرى https://t.co/dY2xOqQ9sI
positive,أبل والجسار تفقدا مدينة «صباح الأحمد»: تذليل الصعوبات لاستكمال الخدمات في المدينة<br /> - محليات - https://t.co/F2K0iCMiIu
neutral,RT @RotanaMagz: بين #نوت7 و #آيفون7 عنصر مشترك!!https://t.co/WY32OzQFve#روتانا #تكنولوجيا
negative,"#مشاهير عاصي الحلاني عن فضيحة بيغ أبل أوورد"": وحياة أولادي لم أدفع مالاً مقابل جائزتي: أثار مقال نشره الإعلا... https://t.co/qaGFCx85ZV"""
negative,سمعة «أبل» على المحك.. مشكلة حقيقية في «آيفون 7» https://t.co/iMXoE8jbfK https://t.co/5HLUJ3DQHC
neutral,@google @Apple @SamsungMobile “غوغل” تتحدّى “أبل” و “سامسونغ”https://t.co/wEkwgtZ0iQ
neutral,“غوغل” تتحدّى “أبل” و “سامسونغ”: أعلنت جوجل يوم الثلاثاء عن هاتف ذكي جديد باسم “بيكسل” وجهاز للواقع الافتراضي... https://t.co/hRIHsRXaLA
neutral,#جمال_فياض.. هكذا تحدث لمجلة #سيدتي عن حقيقة شراء #عاصي_الحلاني ل #بيغ_أبل_أووردhttps://t.co/LRAGnXhHzM#أخبار#مشاهير
positive,#Google #Apple #Samsung “#غوغل” تتحدّى “#أبل” و “#سامسونغ” https://t.co/PXG2cLaJId
neutral,#Arabworld #Worldwide “غوغل” تتحدّى “أبل” و “سامسونغ” https://t.co/PXG2cLaJId
neutral,«أبل» من ستيف جوبز إلى تيم كوك https://t.co/qiziWQRiwV
negative,"RT @sayidatystars: كيف رد #عاصي_الحلاني بعد اتهامه بشراء جائزة بيغ أبل أوورد""؟https://t.co/q0qpPp0LD3 https://t.co/OFeCuiWzsG"""
neutral,غوغل تتحدى أبل وأمازون بأجهزة جديدة  https://t.co/GayUxtZs1V https://t.co/Hp2rQ8VhfI
neutral,شركة أبل : الواقع المعزز سيصبح أهم من الطعام في المستقبل https://t.co/QBHnXxub7S عبر @EbaaTV
positive,RT @Almgharq8: أبل والجسار: توفير الخدمات العامة لأهالي مدينة صباح الأحمد https://t.co/77tOwiYlxA https://t.co/1PaJ8vdf5r
neutral,النائب أبل يسأل الوزير العبيدي عن الملاحق الصحية بالخارج https://t.co/gh10zTsj5i
negative,النائب أبل : رفع الدعم عن البنزين قرار معيب https://t.co/dw30YI2VD4
neutral,#جوجل تتحدّى #أبل و #سامسونج عبر #هاتفها_الذكي الجديد  https://t.co/E4NKUKkpAY  #تكنولوجيا  @ChababsTweet https://t.co/SweCEEBw9q
positive,"سامسونج"" تنافس أبل وتستحوذ على الشركة المطورة لسيرى https://t.co/1jgCIVYrie #البحرين #الكويت #السعودية #الإمارات #قطر #عمان #المنامة #تكن…"""
neutral,"نوكيا.. عملاق فنلندي حطمته"" أبل وسامسونغ https://t.co/MkSPUmYSBY"""
neutral,"تقارير: استحواذ أبل وجوجل"" على ""تويتر"" مجرد شائعات https://t.co/n8xbK5tWH4"""
neutral,مفاجأة.. أبل تطور هاتف آيفون 8 فى إسرائيل https://t.co/QmT6rL7s44
neutral,"أبل: خطأ 53""... https://t.co/0PjXcYMUFo"""
neutral,كشفت شركة جوجل عن مزايا عديدة في هاتف بيكسل الذكي الذي طرحته، منذ أيام، بهدف منافسة أبل وسامسونج.إحدى هذه ا... https://t.co/BUXqVT1dIh
positive,جوجل تتحدى أبل وسامسونج بهاتف جديد https://t.co/lzdW4TOMCW https://t.co/RLC6DfEZ8C
neutral,#نون_أون_لاينميزة في هاتف جوجل تكشف «ابتزاز أبل»ttp://nononline.com/?p=162728 https://t.co/peXrF8LpHM
positive,"أبل الشرق"" تستعد لإطلاق قاتل ""جلاكسي نوت 7"" https://t.co/abyVzEA4Jd"""
positive,"أبل"" العلامة التجارية الأعلى قيمة.. و""فيس بوك"" الأكثر نموا https://t.co/ikGxgEUdEc"""
neutral,5 حقائق عن ابل لم يخطروا على بال أحد من قبل ! https://t.co/uqwNwaih6U
positive,“أبل” تتربّع على عرش العلامات التجارية الأكثر قيمة في العالم https://t.co/FKXz6IzqV3 #المواطن
neutral,"ميزة في هاتف بيكسل"" الجديد تُحرج ""أبل""https://t.co/gUwwDQNxCE"""
negative,شاهد #زبون #فرنسي غاضب يقتحم أحد متاجر #شركة_أبل  https://t.co/1OWbLJmgh0  #تكنولوجيا  @ChababsTweet https://t.co/qgVmfOdKhp
negative,أبل .. هل وصلت لمرحلة الشيخوخة؟ https://t.co/Z4H3G17xe2
neutral,شاهد “JUUK”حزام من الألومنيوم لساعة أبل الذكية بسعر 50 دولار فقط https://t.co/7jDM9bQdv3
neutral,RT @KuwaitiApp: أبل لـ «الراي»: 2200 شقة للكويتيات ... وللمشمولين بقانون «من باع بيته» - محليات - https://t.co/32XI4w3zos
neutral,#صحيفة_الوئام ميزة في هاتف غوغل تكشف “ابتزاز أبل” https://t.co/MxCiXVk0uj #عاصفة_الحزم
neutral,"ميزة في هاتف #غوغل تكشف ابتزاز #أبل"" - للتفاصيل اضغط الرابط https://t.co/zRvstKtGyo #الوطن_العربى https://t.co/TfKY9DTFWX"""
negative,"أبل تحذف تطبيقا شهيرا من آب ستور"" وغضب من المطورين https://t.co/FmJvZ5skcO #البحرين #الكويت #السعودية #الإمارات #قطر #عمان #المنامة #تكنو…"""
neutral,#شمعة الكترونية لمستخدمي #أجهزة #أبلhttps://t.co/8LikGFNvm9 https://t.co/hV8W8RYY2w
neutral,ميزة في هاتف «جوجل» تكشف ابتزاز «أبل» https://t.co/ZtFyfDk79x https://t.co/6ygRaXjIvq
neutral,"RT @al_watanQatar: ميزة في هاتف #جوجل تكشف ابتزاز #أبل""#الوطن #منوعاتhttps://t.co/KaNF8vB5gD https://t.co/ZoMwjbvf8T"""
neutral,"أبل"" تحذف Dash https://t.co/r5xlTTCqUW https://t.co/05WyMLHY4Z"""
positive,RT @20fourMedia: #أبل تكسب معركة بـ 120 مليون دولار ضد #سامسونغ بشأن براءاتhttps://t.co/ZyXnCtxtHN https://t.co/mYfbAKw7dd
neutral,#اخبار_مستخبية اهم اخبار المغرب : أبل تكسب معركة ضد سامسونغ بشأن براءات https://t.co/JqtlNA9O6n #اخبار_الفن… https://t.co/LhkEqKeaUV
positive,أخبارنا تكنولوجيا | أبل تكسب معركة ضد سامسونغ بشأن براءات - سجلت أبل فوزاً غير متوقع على سامسونغ مع إعادة محكمة... https://t.co/udVBxsiLUC
neutral,إبتكار #أبل المذهل، تنفّذه الشركات المنافسة  https://t.co/I7fLcVFHy3  #تكنولوجيا https://t.co/qsjVerYNuQ
neutral,"شركة فرنسية تقاضى أبل"" لإجبارها على فتح الآيفون للمتصفحات المنافسة https://t.co/RJZQSweXxk #البحرين #الكويت #السعودية #الإمارات #قطر #عما…"""
positive,أبل تكسب معركة ضد سامسونغ بشأن براءات.https://t.co/2PWSkriVyv https://t.co/mLtwfPy8Uw
positive,“أبل” تكسب معركة قضائية ضد “سامسونغ” https://t.co/hGjmhe0Sua https://t.co/ahr4dXYltw https://t.co/xxdrB1OzG9
positive,"أبل"" تكسب معركة قضائية ضد ""سامسونغ""https://t.co/G6BUs2IPLKسجلت ""أبل"" فوزا غير متوقع على ""سامسونغ""، مع إعادة محكمة استئناف أمريكية فرض…"""
neutral,دسمان | حبيب أبل : أعداد طلبة البعثات الداخلية تقلصت 20٪ مقارنة بالعام الماضي - https://t.co/rQxWrviuLM
neutral,ميزة في هاتف جوجل تكشف “ابتزاز أبل”هاشتاق عربي- مزايا عديدة كشفت عنها جوجل في هاتف “بيكس… https://t.co/FLZxQuePT5 https://t.co/NFzAI7Adkp
positive,RT @RTarabic: #أبل  تكسب معركة قضائية ضد #سامسونغ #اسأل_أكثرhttps://t.co/zM1QaK7pRk https://t.co/Fe8XpsOfk9
positive,"أبل"" تكسب معركة قضائية ضد ""سامسونغ""  https://t.co/bPJmv5BzXo via @RTarabic"""
positive,RT @RTarabic: #أبل تسجل فوزا غير متوقع على #سامسونغ!؟https://t.co/zM1QaKp1fU#اسأل_أكثر https://t.co/yaWBvegFaB
positive,أبل تفوز على سامسونج.. كيف؟!: المواطن – وكالات فوز غير متوقع سجلته “أبل” على “سامسونج”، وذلك مع إعادة محكمة ا... https://t.co/L8QCamVMSK
positive,RT @almowatennet: أبل تفوز على سامسونج.. كيف؟! https://t.co/wrHycqUf8Q
neutral,أبل أكبر المستفيدين من مشكلات شركات التكنوجيا https://t.co/Znboiwyvfq
negative,RT @OKAZ_online: «أبل» و«#سامسونغ» تتبادلان السرقة https://t.co/9tFPhzUOKi#عكاظ #ابل https://t.co/eBKK4vyLBv
neutral,تجدد النزاع القانوني بين أبل وسامسونغ: عاد النزاع القانوني بين سامسونغ وأبل إلى الأضواء مرة أخرى بعدما قضت مح... https://t.co/ia8IWThuEO
neutral,أبل تكشف حجم الطلبات الحكومية لترصد عملائها https://t.co/clIXZ18KUt https://t.co/eorttLLdEE
negative,ميزة في هاتف #غوغل تكشف “ابتزاز #أبل”https://t.co/2YqXBMoF5c https://t.co/4GzgQ8FBIF
positive,إنفوجرافيك.. أبل تتصدر قائمة أعلى الشركات قيمةهاشتاق عربي- تواصل شركة أبل تصدر الشركات ا… https://t.co/G4Cm6W2g8n https://t.co/pavCjJsznG
positive,إنفوجرافيك.. أبل تتصدر قائمة أعلى الشركات قيمة#هاشتاق_عربي #إنفوجرافيك #أبل #الشركات https://t.co/0QUAKkc7Qq
positive,#صور: تعرف على الشركات الأعلى قيمة في العالم#اقتصادhttps://t.co/bsDFnFM0En https://t.co/z6VfIYbULm
negative,"دعوى قضائية ضد أبل"" تتهمها بالاحتيال على المستخدمين https://t.co/NFwqjIpDvE #البحرين #الكويت #السعودية #الإمارات #قطر #عمان #المنامة #تكن…"""
negative,شركة فرنسية تقاضي #أبل لاستخدامها لغة برمجة خاصة بهاhttps://t.co/aYRv5MPEdq https://t.co/Hq4HpkJu15
neutral,"اتهام شركة أبل"" بالاحتيال على المستخدمين #اتهام_شركة_""أبل"" #بالاحتيال_على_المستخدمين https://t.co/QF66XmxTrX https://t.co/RO0ggEWUBd"""
positive,أبل تتصدر قائمة أعلى الشركات قيمة https://t.co/dWhFutTtG5 https://t.co/0XwVx2uTgl
neutral,📷 سوار أبل واتش الرياضي أبيض اللون للمقاسين ٣٨ / ٤٢ للتواصل والطلبات 🚛📦 ٠٥٥٦٦٢١٢٩٧ /٠٥٦٦٦١٨٠٦٩... https://t.co/TcsQfgCS5x
positive,أبل يؤكد اهتمام الحمود والعيسى بمشروع التدريب الرياضي - https://t.co/dOUxjPkBCQ
positive,"المنافسة بين #أبل و#سامسونغ تصل إلى #سيري""  https://t.co/9zWNGaKmnu https://t.co/EFJHsdc1Hr"""
negative,دعوة قضائية على شركة أبل بسبب مشكلة فى ايفون 6 بلس - https://t.co/35wxfJDqTA https://t.co/WIYduWjmJH
positive,إنفوغرافيك.. أبل تتصدر قائمة أعلى الشركات قيمة https://t.co/LleZ0hqEAk
negative,حظر الوزراء البريطانيين من ارتداء ساعة أبل الذكية خوفا من التجسس الروسى https://t.co/crE3og0owD #البحرين #الكويت #السعودية #الإمارات #قطر …
neutral,RT @OrientNews: تجدد النزاع بين أبل وسامسونغ.. ما السبب؟ https://t.co/wiAyUkmxzi#أورينت #سوريا #تكنولوجيا https://t.co/glf57fVZQX
positive,أبل تنتصر على سامسونغ وتربح 120 مليون دولارhttps://t.co/zfaWQeNEwkقضت محكمة الاستئناف الأمريكية بانتصار شركة أبل في إحدى معاركها مع من…
neutral,رد على سؤال برلماني .. أبل: مشروع جنوب عبدالله المبارك سلم للسكنية يوليو الماضي https://t.co/xRfoaDzZYX
negative,RT @Dotmsr: ساعة أبل الذكية محظورة بالاجتماعات الوزرايةhttps://t.co/PtOmirelYe https://t.co/PXrT5DMd6c
positive,«أبل» تنتصر على «سامسونج» وتستعيد 120 مليون دولار https://t.co/EVsbFwSQI0 https://t.co/pojXGDVHT6
positive,RT @Elbeyrag: أبل ردا على الخرينج : بدأنا إجراءات التخطيط والتصميم لجنوب عبدالله المبارك تمهيدا للتوزيع https://t.co/SCLluCaOgy
neutral,من ساعة أبل لهواتف سامسونج.. أجهزة يمنع السياسيون من استخدمها لإجراءات أمنية https://t.co/74bh2M60RS #البحرين #الكويت #السعودية #الإمارات …
neutral,أبل: «جنوب عبدالله المبارك» تسلمته «السكنية» في 31 يوليو الماضي https://t.co/YMvNXDGij7 https://t.co/jqjOzwRg84
positive,أبل تنتصر على سامسونغ وتربح 120 مليون دولار#موازين_نيوزhttps://t.co/MW3AljAIng
positive,شمعة الكترونية لمستخدمي أجهزة أبل https://t.co/7LGaXxM2Yt https://t.co/g6YfOex1I2
positive,أبل تخطط لتوحيد خدماتها في منصة سحابية واحدةhttps://t.co/pRnFPBq3Dj
neutral,Shoppinz: أبل وسامسونج وجهًا لوجه في المحكمة العليا لوضع حد لنزاع براءات الاختراع https://t.co/83Z2KG5zsR
negative,ساعة أبل محظورة بقرار وزاري في بريطانيا https://t.co/WwJJbMrYEC https://t.co/icjHpKx8xF
neutral,أبل: «جنوب عبدالله المبارك» تسلمته «السكنية» في 31 يوليو الماضي: قال وزير الدولة لشؤون الإسكان ياسر أبل إن مو... https://t.co/vxiQOfkl9n
neutral,"بريطانيا تحظر ساعة أبل"" في اجتماعات الوزراء https://t.co/4quV0A9Ckk"""
neutral,RT @ChababsTweet: مصانع #أبل بدأت العمل رسميًا على جهاز #أيفون8، فأين أيفون 7اس؟  https://t.co/ZQ0N1BnfKR  #تكنولوجيا https://t.co/9IR0U9…
neutral,أبل: 54% من الأجهزة تعمل بنظام التشغيل iOS 10 https://t.co/JMJeld0Je9 #البحرين #الكويت #السعودية #الإمارات #قطر #عمان #المنامة #تكنولوجيا
negative,حظر ساعة أبل باجتماعات مجلس وزراء بريطانياhttps://t.co/C7RHJbv8ra
